record,family,model,algorithm,seed,max_error_ratio,status
example,gradient,thermometer,HMC,1217,0.13460470714601291,PASS
example,gradient,thermometer,MALA,1217,0.14108698056815167,PASS
example,gradient,linear-regression,HMC,1201,0.29814409245950985,PASS
example,gradient,linear-regression,MALA,1201,0.25144994313711122,PASS
example,gradient,linear-regression,HMC,1213,0.20609795031183356,PASS
example,gradient,linear-regression,MALA,1213,0.15597288493915668,PASS
example,gradient,linear-regression,HMC,1217,0.14675203067692497,PASS
example,gradient,linear-regression,MALA,1217,0.22497113678602365,PASS
example,gradient,logistic-intercept,HMC,1201,0.14071746875366234,PASS
example,gradient,logistic-intercept,MALA,1201,0.38297425895859388,PASS
example,gradient,logistic-intercept,HMC,1213,0.11318721195425159,PASS
example,gradient,logistic-intercept,MALA,1213,0.13631243855317857,PASS
example,gradient,logistic-intercept,HMC,1217,0.1508667134147158,PASS
example,gradient,logistic-intercept,MALA,1217,0.19214624993372365,PASS
